Diameter,Thickness,Mass,Restitution,Force,Force application Time,Lateral friction,Spinning friction,Rolling friction,Distance between coins,Linear damping,Angular damping,Heads,Tails,Side,Total
27.18281828459045,10.0,15.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21575,21596,6829,50000
27.18281828459045,10.0,15.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21861,21593,6546,50000
27.18281828459045,10.0,15.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21657,21466,6877,50000
27.18281828459045,10.0,20.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21791,21743,6466,50000
27.18281828459045,10.0,20.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21567,21354,7079,50000
27.18281828459045,10.0,20.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21655,21750,6595,50000
27.18281828459045,10.0,20.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21666,21490,6844,50000
28.2,10.0,5.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21459,21513,7028,50000
28.2,10.0,5.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21569,21288,7143,50000
28.2,10.0,5.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21246,21064,7690,50000
28.2,10.0,5.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,20598,20667,8735,50000
28.2,10.0,10.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21970,21962,6068,50000
28.2,10.0,10.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,22037,22011,5952,50000
28.2,10.0,10.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21856,22164,5980,50000
28.2,10.0,10.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21504,21948,6548,50000
28.2,10.0,15.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21773,22026,6201,50000
28.2,10.0,15.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21690,21740,6570,50000
28.2,10.0,15.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,22022,21928,6050,50000
28.2,10.0,15.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21589,22184,6227,50000
28.2,10.0,20.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,22081,21660,6259,50000
28.2,10.0,20.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21786,21657,6557,50000
28.2,10.0,20.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21840,21855,6305,50000
28.2,10.0,20.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21859,22000,6141,50000
